Markov Chain Monte Carlo (MCMC) output:
Start = 1001 
End = 2000 
Thinning interval = 1 
        beta.(Intercept)    beta.X   beta.Y   beta.Roads beta.Waterways beta.Elevation   beta.Slope
 [111,]         11.67131 -1.441739 4.244815 -0.009141525   -0.004225246   0.0008308067 1.154528e-04
 [112,]         11.79806 -1.439066 4.231761 -0.009131446   -0.004254453   0.0008152654 1.214533e-04
 [113,]         11.79806 -1.439066 4.231761 -0.009131446   -0.004254453   0.0008152654 1.214533e-04
 [114,]         11.94232 -1.436929 4.219760 -0.009148594   -0.004215664   0.0008040140 1.146954e-04
 [115,]         11.94232 -1.436929 4.219760 -0.009148594   -0.004215664   0.0008040140 1.146954e-04
 [116,]         11.94232 -1.436929 4.219760 -0.009148594   -0.004215664   0.0008040140 1.146954e-04
 [117,]         11.92395 -1.435356 4.215231 -0.009135889   -0.004228467   0.0008073825 1.172960e-04
 [118,]         11.92395 -1.435356 4.215231 -0.009135889   -0.004228467   0.0008073825 1.172960e-04
 [119,]         12.21938 -1.437630 4.212156 -0.009133505   -0.004245747   0.0008266381 1.280463e-04
 [120,]         12.04138 -1.433910 4.206351 -0.009122712   -0.004248746   0.0008282581 1.088914e-04
 [121,]         12.04138 -1.433910 4.206351 -0.009122712   -0.004248746   0.0008282581 1.088914e-04
 [122,]         12.04138 -1.433910 4.206351 -0.009122712   -0.004248746   0.0008282581 1.088914e-04
 [123,]         12.04138 -1.433910 4.206351 -0.009122712   -0.004248746   0.0008282581 1.088914e-04
 [124,]         12.04138 -1.433910 4.206351 -0.009122712   -0.004248746   0.0008282581 1.088914e-04
 [125,]         12.04138 -1.433910 4.206351 -0.009122712   -0.004248746   0.0008282581 1.088914e-04
 [126,]         11.85793 -1.435614 4.218237 -0.009106365   -0.004267300   0.0008437837 1.178071e-04
 [127,]         11.85793 -1.435614 4.218237 -0.009106365   -0.004267300   0.0008437837 1.178071e-04
 [128,]         11.85793 -1.435614 4.218237 -0.009106365   -0.004267300   0.0008437837 1.178071e-04
 [129,]         11.85793 -1.435614 4.218237 -0.009106365   -0.004267300   0.0008437837 1.178071e-04
 [130,]         11.85793 -1.435614 4.218237 -0.009106365   -0.004267300   0.0008437837 1.178071e-04
 [131,]         13.29669 -1.443273 4.192727 -0.009115562   -0.004266801   0.0008474633 1.215655e-04
 [132,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [133,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [134,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [135,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [136,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [137,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [138,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [139,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [140,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [141,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [142,]         13.04143 -1.448057 4.217345 -0.009111771   -0.004284867   0.0008163135 1.347148e-04
 [ reached getOption("max.print") -- omitted 858 rows ]
